id,name,country,type
1,Florian Mueller,Deutschland,a
Mainz,1.FSV Mainz,Deutschland,b
42,Florian Schock,Deutschland,a
VfB 2,VfB 2.Mannschaft,Deutschland,b
37,Hiroki Ito,Japan,a
Jubilo Iwata,Jubilo Iwata1,Japan,b
32,Naouirou Ahamada,Frankreich,a
Juventus,Juventus Turin U23,Italien,b
8,Enzo Millot,Frankreich,a
Monaco,AS Monaco,Monaco,b
28,Nikolas Nartey,Daenemark,a
Sandhausen,SV Sandhausen,Deutschland,b
34,Oemer Beyaz,Tuerkei,a
Istanbul,Fenerbahce Istanbul,Tuerkei,b
Paderborn,SC Paderborn,Deutschland,b
22,Chris Fuehrich,Deutschland,a
18,Tiago Tomas,Portugal,a
Lissabon,Sporting Lissabon,Portugal,b
17,Omar Marmoush,Aegypten,a
Wolfsburg,VfL Wolfsburg,Deutschland,b
19,Wahid Faghir,Daenemark,a
Vejle,Vejle Boldklub,Daenemark,b
50,Alexis Tibidi,Frankreich,a
VfB U19,VfB U19 1,Deutschland,b
44,Mohamed Sankoh,Niederlande,a
33,Fabian Bredlow,Deutschland,a
Nuernberg,1.FC Nuernberg,Deutschland,b
5,Konstantinos Mavropanos,Griechenland,a
Arsenal,FC Arsenal,England,b
2,Waldemar Anton,Deutschland,a
Hannover,Hannover 96,Deutschland,b
24,Borna Sosa,Kroatien,a
Zagreb,Dinamo Zagreb,Kroatien,b
15,Pascal Stenzel,Deutschland,a
Freiburg,SC Freiburg,Deutschland,b
23,Orel Mangala,Belgien,a
Hamburg,Hamburger SV,Deutschland,b
3,Wataru Endo,Japan,a
Truiden,VV St. Truiden,Belgien,b
16,Atakan Karazor,Deutschland,a
Kiel,Holstein Kiel,Deutschland,b
6,Clinton Mola,England,a
Chelsea U23,Chelsea U23 1,England,b
14,Silas Katompa Mvumpa,DR Kongo,a
Paris,Paris FC,Frankreich,b
30,Roberto Massimo,Deutschland,a
Bielefeld,Arm. Bielefeld,Deutschland,b
11,Erik Thommy,Deutschland,a
Duesseldorf,F. Duesseldorf,Deutschland,b
20,Philipp Foerster,Deutschland,a
31,Mateo Klimowicz,Deutschland,a
Instituto,Instituto AC,Argentinien,b
25,Lilian Egloff,Deutschland,a
10,Daniel Didavi,Deutschland,a
7,Tanguy Coulibaly,Frankreich,a
Paris SG U19,Paris SG U19 1,Frankreich,b
9,Sasa Kalajdzic,Oesterreich,a
Admira Wacker,Admira Wacker 1,Oesterreich,b
Deutschland,Deutschland,,
Japan,Japan,,
Frankreich,Frankreich,,
Italien,Italien,,
Daenemark,Daenemark,,
Monaco,Monaco,,
Tuerkei,Tuerkei,,
Portugal,Portugal,,
Aegypten,Aegypten,,
Niederlande,Niederlande,,
Griechenland,Griechenland,,
England,England,,
Kroatien,Kroatien,,
Belgien,Belgien,,
DR Kongo,DR Kongo,,
Oesterreich,Oesterreich,,
Usbekistan,Usbekistan,,
Komoren,Komoren,,
Martinique,Martinique,,
Ghana,Ghana,,
Argentinien,Argentinien,,
Benin,Benin,,
Elfenbeinküste,Elfenbeinküste,,
Serbien,Serbien,,
Kanada,Kanada,,
Afghanistan,Afghanistan,,
Kamerun,Kamerun,,
Sierra Leone,Sierra Leone,,
