id,name,country,type
1,Florian Mueller,Deutschland,1
33,Fabian Bredlow,Deutschland,1
42,Florian Schock,Deutschland,1
5,Konstantinos Mavropanos,Griechenland,1
2,Waldemar Anton,Deutschland,1
37,Hiroki Ito,Japan,1
24,Borna Sosa,Kroatien,1
15,Pascal Stenzel,Deutschland,1
23,Orel Mangala,Belgien,1
3,Wataru Endo,Japan,1
16,Atakan Karazor,Deutschland,1
32,Naouirou Ahamada,Frankreich,1
6,Clinton Mola,England,1
8,Enzo Millot,Frankreich,1
28,Nikolas Nartey,Daenemark,1
14,Silas Katompa Mvumpa,DR Kongo,1
30,Roberto Massimo,Deutschland,1
11,Erik Thommy,Deutschland,1
20,Philipp Foerster,Deutschland,1
31,Mateo Klimowicz,Deutschland,1
25,Lilian Egloff,Deutschland,1
34,Oemer Beyaz,Tuerkei,1
10,Daniel Didavi,Deutschland,1
7,Tanguy Coulibaly,Frankreich,1
22,Chris Fuehrich,Deutschland,1
9,Sasa Kalajdzic,Oesterreich,1
18,Tiago Tomas,Portugal,1
17,Omar Marmoush,Aegypten,1
19,Wahid Faghir,Daenemark,1
50,Alexis Tibidi,Frankreich,1
44,Mohamed Sankoh,Niederlande,1
Mainz,Mainz 05,Deutschland,2
Hannover,Hannover 96,Deutschland,2
Truiden,VV St Truiden,Belgien,2
Arsenal,FC Arsenal ,England,2
Chelsea,FC Chelsea,England,2
Paris,Paris Saint Germain,Frankreich,2
Monaco,AS Monaco FC,Frankreich,2
Admira Wacker,FC Admira Wacker,Oesterreich,2
Wolfsburg,VfL Wolfsburg,Deutschland,2
Augsburg,FC Augsburg,Deutschland,2
Paris fc,Paris FC,Frankreich,2
Freiburg,SC Freiburg,Deutschland,2
Kiel,Holstein Kiel,Deutschland,2
Lissabon,Sporting Lissabon,Portugal,2
Vejle,Vejle Boldklub,Daenemark,2
Sandhausen,SV Sandhausen,Deutschland,2
Paderborn,SC Paderborn 07,Deutschland,2
Hamburg,Hamburger SV,Deutschland,2
Zagreb,Dinamo Zagreb,Kroatien,2
Vfb 2,VfB Stuttgart,Deutschland,2
Vfb U19,VfB Stuttgart,Deutschland,2
Koeln,FC Koeln,Deutschland,2
Bielefeld,Arminia Bielefeld,Deutschland,2
Instituto,Instituto AC Cordoba,Argentinien,2
Juventus,Juventus Turin,Italien,2
Nuernberg,FC Nuernberg,Deutschland,2
Istanbul,Fenerbahce Instanbul,Tuerkei,2
Iwata,Jubilo Iwata,Japan,2
Deutschland,Deutschland,,0
Japan,Japan,,0
Griechenland,Griechenland,,0
England,England,,0
Frankreich,Frankreich,,0
Oesterreich,Oesterreich,,0
DR Kongo,DR Kongo,,0
Aegypten,Aegypten,,0
Portugal,Portugal,,0
Daenemark,Daenemark,,0
Belgien,Belgien,,0
Kroatien,Kroatien,,0
Tuerkei,Tuerkei,,0
Niederlande,Niederlande,,0
Elfenbeinküste,Elfenbeinküste,,0
Usbekistan,Usbekistan,,0
Komoren,Komoren,,0
Martinique,Martinique,,0
Ghana,Ghana,,0
Italien,Italien,,0
Argentinien,Argentinien,,0
Benin,Benin,,0
Serbien,Serbien,,0
Kanada,Kanada,,0
Afghanistan,Afghanistan,,0
Kamerun,Kamerun,,0
Sierra Leone, Sierra Leone,,0
