id,name,country,type
1,Florian Müller,de,a
Mainz,1.FSV Mainz,de,b
42,Florian Schock,de,a
VfB 2,VfB 2.Mannschaft,de,b
37,Hiroki Ito,jpn,a
Jubilo Iwata,Jubilo Iwata1,jpn,b
32,Naouirou Ahamada,fra,a
Juventus,Juventus Turin U23,it,b
8,Enzo Millot,fra,a
Monaco,AS Monaco,mco,b
28,Nikolas Nartey,dnk,a
Sandhausen,SV Sandhausen,de,b
34,Ömer Beyaz,tur,a
Istanbul,Fenerbahce Istanbul,tur,b
Paderborn,SC Paderborn,de,b
22,Chris Führich,de,a
18,Tiago Tomas,prt,a
Lissabon,Sporting Lissabon,prt,b
17,Omar Marmoush,egy,a
Wolfsburg,VfL Wolfsburg,de,b
19,Wahid Faghir,dnk,a
Vejle,Vejle Boldklub,dnk,b
50,Alexis Tibidi,fra,a
VfB U19,VfB U19 1,de,b
44,Mohamed Sankoh,nld,a
33,Fabian Bredlow,de,a
Nürnberg,1.FC Nürnberg,de,b
5,Konstantinos Mavropanos,grc,a
Arsenal,FC Arsenal,gbr,b
2,Waldemar Anton,de,a
Hannover,Hannover 96,de,b
24,Borna Sosa,hrv,a
Zagreb,Dinamo Zagreb,hrv,b
15,Pascal Stenzel,de,a
Freiburg,SC Freiburg,de,b
23,Orel Mangala,bel,a
Hamburg,Hamburger SV,de,b
3,Wataru Endo,jpn,a
Truiden,VV St. Truiden,bel,b
16,Atakan Karazor,de,a
Kiel,Holstein Kiel,de,b
6,Clinton Mola,gbr,a
Chelsea U23,Chelsea U23 1,gbr,b
14,Silas Katompa Mvumpa,cod,a
Paris,Paris FC,fra,b
30,Roberto Massimo,de,a
Bielefeld,Arm. Bielefeld,de,b
11,Erik Thommy,de,a
Düsseldorf,F. Düsseldorf,de,b
20,Philipp Förster,de,a
31,Mateo Klimowicz,de,a
Instituto,Instituto AC,ar,b
25,Lilian Egloff,de,a
10,Daniel Didavi,de,a
7,Tanguy Coulibaly,fra,a
Paris SG U19,Paris SG U19 1,fra,b
9,Sasa Kalajdzic,at,a
Admira Wacker,Admira Wacker 1,at,b
Deutschland,Deutschland,,
Japan,Japan,,
Frankreich,Frankreich,,
Italien,Italien,,
Dänemark,Dänemark,,
Monaco,Monaco,,
Türkei,Türkei,,
Portugal,Portugal,,
Ägypten,Ägypten,,
Niederlande,Niederlande,,
Griechenland,Griechenland,,
England,England,,
Kroatien,Kroatien,,
Belgien,Belgien,,
DR Kongo,DR Kongo,,
Österreich,Österreich,,
Usbekistan,Usbekistan,,
Komoren,Komoren,,
Martinique,Martinique,,
Ghana,Ghana,,
Argentinien,Argentinien,,
Benin,Benin,,
Elfenbeinküste,Elfenbeinküste,,
Serbien,Serbien,,
Kanada,Kanada,,
Afghanistan,Afghanistan,,
Kamerun,Kamerun,,
Sierra Leone,Sierra Leone,,
